"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"4660","Alfred Pohl","German, born 1928","German","Male","1928","0","",""
"131860","Ming Wong","Singaporean, born 1971","Singaporean","Male","1971","0","",""
"2404","Albert Guillaume","French, 1873–1942","French","Male","1873","1942","",""
"10515","Hammy Oy, Helsinki","","","","0","0","",""
"3440","Lawrence Lebduska","American, 1894–1966","American","Male","1894","1966","",""
"3689","F. Maglin","French","French","","0","0","",""
"30901","Mehmet Emir","Turkish","Turkish","Male","0","0","",""
"29048","Barnabas Wetton","British, born 1962","British","Male","1962","0","",""
"10418","FRZ-Metallwarenfabrik, Zuzenhausen, Germany","","","","0","0","",""
"41457","Pat Sullivan","Australian, 1887–1933","Australian","Male","1887","1933","",""
"5665","Clyfford Still","American, 1904–1980","American","Male","1904","1980","Q700336","500020155.0"
"4927","Rigobaldi","Italian","Italian","","0","0","",""
"23983","Grigorii Zimin","","","Male","0","0","",""
"2973","Richard Kalvar","American, born 1944","American","Male","1944","0","Q7326984",""
"26617","Álvaro Barrios","Colombian, born 1945","Colombian","Male","1945","0","",""
"6519","Ellsworth Young","American","American","Male","0","0","",""
"39447","Ko Verzuu","Dutch, 1901–1971","Dutch","Male","1901","1971","",""
"7040","Barbel Scianghetti","American, born 1939","American","Female","1939","0","",""
"75704","Jonathan Demme","American, 1944–2017","American","Male","1944","2017","",""
"48285","Mary Curtis","","","Female","0","0","",""
"4745","Rick Prol","American, born 1956","American","Male","1956","0","",""
"5091","Andrew Joseph Russell","American, 1830–1902","American","Male","1830","1902","Q4757433","500028827.0"
"4629","Giovanni Pintori","Italian, 1912–1999","Italian","Male","1912","1999","Q834688",""
"3386","Magali Lara","Mexican","Mexican","Female","0","0","",""
"29640","Patricia Urquiola","Spanish, born 1961","Spanish","Female","1961","0","Q432294","500273954.0"
"7846","Bernard Rancillac","French, born 1931","French","Male","1931","0","Q2898497","500329203.0"
"75099","Alison Maclean","Canadian, born 1958","Canadian","Female","1958","0","",""
"75076","Zoltán Réczey","Hungarian, born 1969","Hungarian","Male","1969","0","",""
"5972","Giulio Turcato","Italian, 1912–1995","Italian","Male","1912","1995","",""
"3934","Mercer","British","British","","0","0","",""
"40914","Han Schuil","","","","0","0","",""
"35538","Katsuhiro Yamaguchi","Japanese, born 1928","Japanese","Male","1928","0","",""
"10287","AB Rörstrands Porslinsfabriker, Lidköping, Sweden","","Swedish","","0","0","",""
"10842","Mastermotive, Inc., Savage, MN","","","","0","0","",""
"48043","Joseph Schwartz","American, 1913–2015","American","Male","1913","2015","",""
"45798","Gaspar Gasparian","Brazilian, 1899–1966","Brazilian","Male","1899","1966","",""
"34468","Ben Rose","American, 1916–1980","American","Male","1916","1980","Q4886385",""
"36444","New York Architects","1984–1994","","","1984","1994","",""
"8713","William M. Heynes","British, 1903–1989","British","Male","1903","1989","",""
"5564","Nancy Spero","American, 1926–2009","American","Female","1926","2009","Q2731236","500060537.0"
"23035","Iittala Lasitehdas, Finland","","","","0","0","",""
"10275","Grand Bleu, Inc., Japan","","","","0","0","",""
"4133","Stanley Mouse","American, born 1940","American","Male","1940","0","",""
"7261","Poul Henningsen","Danish, 1894–1967","Danish","Male","1894","1967","Q1928794","500067784.0"
"7072","John Cline","American","American","Male","0","0","",""
"48629","Steven Hull","","","","0","0","",""
"10243","AB Strömbergshyttan, Hovmantorp, Sweden","","Swedish","","0","0","",""
"4496","Richard Pare","British, born 1948","British","Male","1948","0","Q1286781","500037133.0"
"2340","Franco Grignani","Italian, 1908–1999","Italian","Male","1908","1999","Q1442595","500054808.0"
"45516","Franco Rossi","Italian, 1919–2000","Italian","Male","1919","2000","",""
"2608","Hanns Herkendell","German","German","Male","0","0","",""
"4186","Robert Murray","Nationality unknown","Nationality unknown","Male","0","0","",""
"402","Thomas Bayrle","German, born 1937","German","Male","1937","0","",""
"1267","Robert Cottingham","American, born 1935","American","Male","1935","0","",""
"24512","Avenir Chernomordik","Russian, 1897–1991","Russian","Male","1897","1991","",""
"7829","Kurt Kranz","German, 1910–1997","German","Male","1910","1997","Q1717677","500073410.0"
"5269","Anton Schranz II","Nationality unknown","Nationality unknown","Male","1801","0","",""
"2164","Edgardo Miguel Gimenez","Argentine, born 1942","Argentine","Male","1942","0","",""
"5228","Georg Schmid","Austrian, born 1928","Austrian","Male","1928","0","",""
"22769","Guenther","","","","0","0","",""
"40908","Emo Verkerk","","","","0","0","",""
"33203","Quanta","Taiwan, est. 1988","Taiwanese","","1988","0","",""
"5625","Joël Stein","French, 1926–2012","French","Male","1926","2012","Q1286410","500196003.0"
"6706","Jules Flandrin","French, 1871–1947","French","Male","1871","1947","",""
"3487","Leonid (Leonid Berman)","American, born Russia. 1896–1976","American","Male","1896","1976","Q4085031","500023200.0"
"33215","Ines Lombardi","","","Female","0","0","",""
"23853","V. Zhmurov","","","","0","0","",""
"3891","Elizabeth McLennan","Canadian","Canadian","Female","0","0","",""
"43512","Wila","Spanish","Spanish","","0","0","",""
"1190","Marjory Collins","American, 1912–1985","American","Female","1912","1985","Q3293964","500335864.0"
"67872","Joseph-Philibert Girault de Prangey","French, 1804–1892","French","Male","1804","1892","",""
"37153","Emil Pottner","Austrian, 1872–1942","Austrian","Male","1872","1942","",""
"4400","Nathan Oliveira","American, 1928–2010","American","Male","1928","2010","Q3336745","500028137.0"
"16790","Anton Giulio Bragaglia","Italian, 1890–1960","Italian","Male","1890","1960","Q589698","500025100.0"
"2759","Sipke Huismans","Dutch","Dutch","Male","0","0","",""
"40879","Peter Struycken","Dutch, born 1939","Dutch","","1939","0","Q2706817","500003537.0"
